ID,Name,Age,Center,Forward,Guard,A-10,A-Sun,AAC,ACC,AEC,Big 12,Big East,Big Sky,Big South,Big Ten,Big West,CAA,CUSA,Horizon,Ivy,MAAC,MAC,MEAC,MVC,MWC,OVC,Pac-10,Pac-12,Patriot,SEC,Southern,Southland,Summit,Sun Belt,WAC,WCC,Height,Weight,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
wesley-johnson-1,Wesley Johnson,22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,95,2016,28,8,10.7,0.6,1.0,0.6,1.0,0.0,0.0,0.8,1.3,0.8,1.1,1.9,0.2,0.3,0.3,0.4,1.8,1.9,-2.59,10.3,0.605,0.5710000000000001,0.0,1.25,61.0,8.1,12.0,9.9,2.8,1.5,2.7,18.3,9.1,0.4,0.3,0.7,0.091,0,4
dominique-johnson-1,Dominique Johnson,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178,72,2011,33,7,26.6,3.2,7.0,1.7,3.5,1.5,3.5,2.4,2.8,0.3,1.7,2.0,3.2,0.8,0.0,2.1,1.7,10.2,-5.07,17.0,0.612,0.5579999999999999,0.504,0.392,344.0,1.5,6.9,4.4,23.6,1.9,0.0,20.0,20.0,2.1,0.7,2.8,0.128,4,80
kyrie-irving-1,Kyrie Irving,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,81,2011,11,8,27.5,5.0,9.5,3.4,5.9,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,8.32,32.5,0.6970000000000001,0.615,0.375,0.6829999999999999,189.0,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,1.8,0.6,2.4,0.32,0,1
derrick-williams-2,Derrick Williams,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,203,106,2011,38,38,30.0,5.9,10.0,4.8,8.1,1.1,1.9,6.5,8.7,2.8,5.5,8.3,1.1,1.0,0.7,2.6,2.8,19.5,7.99,32.8,0.69,0.65,0.195,0.871,675.0,11.8,21.9,17.0,8.7,1.9,2.3,15.7,28.9,6.0,1.9,7.9,0.27899999999999997,0,2
brandon-knight-1,Brandon Knight,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,190,83,2011,38,38,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,8.91,19.3,0.5529999999999999,0.508,0.45,0.33299999999999996,652.0,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,3.6,1.8,5.3,0.157,0,8
kemba-walker-1,Kemba Walker,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,78,2011,41,41,37.6,7.7,18.0,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,10.44,29.9,0.5429999999999999,0.478,0.307,0.426,930.0,3.9,11.5,7.9,28.0,3.1,0.5,9.5,32.4,7.3,2.4,9.7,0.251,0,9
jimmer-fredette-1,Jimmer Fredette,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,188,88,2011,37,37,35.8,9.4,20.7,6.0,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,5.76,30.9,0.594,0.5329999999999999,0.409,0.369,986.0,2.0,8.3,5.2,28.8,2.1,0.1,12.7,37.8,6.6,1.9,8.5,0.256,0,10
klay-thompson-1,Klay Thompson,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,198,90,2011,34,33,34.7,7.1,16.2,4.2,9.0,2.9,7.2,4.6,5.4,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9,21.6,6.81,26.1,0.574,0.525,0.446,0.336,694.0,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,3.7,2.2,5.8,0.198,0,11
alec-burks-1,Alec Burks,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,88,2011,38,37,31.4,6.6,14.1,5.9,11.6,0.7,2.5,6.6,7.9,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,5.61,29.4,0.574,0.495,0.179,0.564,771.0,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,5.6,1.0,6.6,0.221,0,12
markieff-morris-1,Markieff Morris,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,111,2011,38,34,24.4,5.1,8.7,4.5,7.2,0.7,1.6,2.7,4.0,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,7.62,29.1,0.642,0.627,0.17800000000000002,0.462,485.0,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,3.6,2.4,6.0,0.257,0,13
