ID,Name,Age,Position,Height,Weight,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
andrew-bogut-1,Andrew Bogut,20,Forward,213,111,2005,Utah,MWC,35,35,35.0,8.0,12.9,.620,7.8,12.2,.636,0.3,0.7,.360,4.1,5.9,.692,3.7,8.5,12.2,2.3,1.0,1.9,2.7,2.2,20.4,4.54,,.648,.630,.055,.459,,,,24.2,18.2,,4.2,14.8,29.7,6.4,4.5,10.9,.358,Top15,1
marvin-williams-1,Marvin Williams,19,Forward,206,104,2005,UNC,ACC,36,0,22.2,3.5,6.9,.506,2.9,5.6,.522,0.5,1.2,.432,3.8,4.5,.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3,10.66,,.627,.545,.178,.660,,,,16.0,5.4,,1.4,14.7,21.1,2.6,2.1,4.8,.239,Top15,2
deron-williams-1,Deron Williams,21,Guard,190,95,2005,Illinois,Big Ten,39,39,33.7,4.6,10.5,.433,2.8,5.7,.491,1.7,4.8,.364,1.7,2.5,.677,0.4,3.3,3.6,6.8,1.0,0.2,2.8,2.1,12.5,8.47,,.535,.516,.455,.234,,,,6.6,35.8,,0.5,19.3,22.5,2.1,2.5,4.6,.140,Top15,3
chris-paul-1,Chris Paul,20,Guard,183,79,2005,Wake Forest,ACC,32,31,33.4,4.5,9.9,.451,3.0,6.9,.441,1.4,3.0,.474,4.9,5.8,.834,0.7,3.8,4.5,6.6,2.4,0.0,2.8,2.6,15.3,10.27,,.601,.524,.306,.590,,,,7.5,33.8,,0.1,18.0,21.5,2.9,1.6,4.6,.171,Top15,4
raymond-felton-1,Raymond Felton,21,Guard,185,89,2005,UNC,ACC,36,35,31.7,4.2,9.2,.455,2.2,4.8,.468,1.9,4.4,.440,2.6,3.7,.701,0.6,3.7,4.3,6.9,2.0,0.3,3.6,2.0,12.9,10.66,,.589,.561,.482,.406,,,,7.4,34.6,,0.6,24.7,20.4,2.7,2.5,5.1,.179,Top15,5
charlie-villanueva-1,Charlie Villanueva,20,Forward,211,108,2005,UConn,Big East,31,31,25.7,5.1,9.8,.521,4.9,9.5,.522,0.2,0.4,.500,3.1,4.5,.688,2.6,5.6,8.3,1.3,0.6,1.8,2.3,2.2,13.6,7.62,,.566,.531,.039,.462,,,,,,,,15.8,,2.1,2.7,4.8,.240,Top15,7
channing-frye-1,Channing Frye,22,Center,211,112,2005,Arizona,Pac-10,37,37,31.0,6.1,11.1,.554,6.1,10.6,.570,0.1,0.5,.176,3.4,4.1,.830,2.8,4.8,7.6,1.9,0.9,2.3,1.7,2.6,15.8,8.03,,.605,.557,.041,.373,,,,14.3,12.0,,5.0,11.7,22.7,3.6,3.7,7.4,.256,Top15,8
ike-diogu-1,Ike Diogu,21,Forward,203,113,2005,Arizona State,Pac-10,32,32,36.4,7.2,12.4,.575,6.6,11.0,.598,0.6,1.4,.400,7.8,9.7,.797,3.7,6.1,9.8,1.3,0.6,2.3,3.6,2.8,22.6,5.36,,.663,.598,.113,.781,,,,15.3,8.2,,4.4,17.4,27.3,5.8,2.6,8.4,.290,Top15,9
sean-may-1,Sean May,21,Center,206,120,2005,UNC,ACC,37,36,26.8,6.2,10.9,.567,6.2,10.8,.571,0.0,0.1,.000,5.2,6.8,.758,3.8,6.9,10.7,1.7,1.2,1.0,2.5,2.4,17.5,10.66,,.620,.567,.007,.627,,,,21.8,11.7,,2.5,15.3,27.6,4.1,3.6,7.7,.311,Top15,13
rashad-mccants-1,Rashad McCants,20,Guard,193,93,2005,UNC,ACC,33,30,25.9,5.5,11.3,.489,3.4,6.2,.544,2.2,5.1,.423,2.8,3.8,.722,0.8,2.2,3.0,2.7,1.3,0.7,1.9,2.4,16.0,10.66,,.609,.584,.449,.337,,,,6.3,18.7,,1.7,12.7,25.8,3.2,1.8,5.0,.232,Top15,14
antoine-wright-1,Antoine Wright,21,Forward,201,95,2005,Texas A&M,Big 12,31,30,33.9,6.2,12.4,.501,3.9,7.3,.540,2.3,5.1,.447,3.1,4.5,.691,1.6,4.3,6.0,2.2,1.2,0.7,2.4,2.5,17.8,5.19,,.613,.594,.413,.361,,,,,,,,14.3,,3.9,2.0,5.9,.225,Top15,15
joey-graham-1,Joey Graham,23,Forward,201,102,2005,Oklahoma State,Big 12,33,33,30.6,6.1,11.5,.529,5.3,9.8,.538,0.8,1.7,.473,4.8,5.4,.887,1.6,4.6,6.2,2.0,0.9,0.2,2.7,3.1,17.7,9.68,,.630,.563,.145,.466,,,,12.8,13.5,,0.4,15.9,27.7,4.3,1.6,5.8,.232,Top30,16
